assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_exogenous_attributable,wait_fraction,wall_clock_s,yield_wait_steps
0,1257,0,0,0,priority,1257,0,,budget_sensitivity,4,151,lacam_official,True,20,random_walk,398,0,100.66666666666667,astar,28062,1498,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",593.0,1220.6258730147965,588.6500388423059,165.07159904534606,807.738287213246,162.98329355608593,151.0,ours,lifelong,0,200,100,1990.8194065472342,1174.5599700079765,10,28213,db27f865fba354913695ad8daa564cd49e46a29b00b74b91c0fc831e418b1d45,3947,1,2082.666666666667,3124,3,107,0,1.0,0,ok,1500,204870,conflict_aware,0.9714064914992272,0.838,1500,1294,19389,0,3124,0.06463,899.3103,15442
0,1218,0,0,0,priority,1218,0,,budget_sensitivity,4,154,lacam_official,True,20,random_walk,354,0,102.66666666666667,astar,19500,1496,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",499.0,1212.9051329684444,590.7489464674533,150.75944170771757,512.5445073501467,148.39490968801314,137.0,ours,lifelong,0,200,100,1406.4994134387232,1160.9701451379806,10,19654,d6026818a1dbd5afc5bd0836e38c516c92d89dbed7b82a70adde4ba2d08e2960,2860,1,1942.0,2913,1,66,0,1.0,0,ok,1500,180745,conflict_aware,0.9567949725058916,0.812,1500,1273,21444,0,2913,0.07148,902.5809,18584
0,1222,0,0,0,priority,1222,0,,budget_sensitivity,4,152,lacam_official,True,20,random_walk,414,0,101.33333333333333,astar,21860,1498,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",534.0,1194.3367319763638,597.8077424949346,154.89198036006547,634.8629990067199,153.93780687397708,144.0,ours,lifelong,0,200,100,1754.0003931266253,1159.4051420834148,10,22012,5204cc54733d8ca9a33a97485d0ef1693125b9b557fb08b6880b6e8a3f27130a,2878,1,2141.3333333333335,3212,0,83,0,1.0,0,ok,1500,188112,conflict_aware,0.9667721518987342,0.8146666666666667,1500,1264,21410,0,3212,0.07136666666666666,912.9614,18532
0,1207,0,0,0,priority,1207,0,,budget_sensitivity,4,160,lacam_official,True,20,random_walk,378,0,106.66666666666667,astar,26577,1499,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",621.0,1231.3468329957686,606.4014654734638,162.05385252692625,753.4382808997179,161.30903065451534,152.0,ours,lifelong,0,200,100,1992.1003194845973,1173.1022691354156,10,26737,7f72be5553417a679c49bfd9d22174bdc91c3bd1feb7727666201d70acc0bf66,4086,1,2060.0,3090,5,105,0,1.0,0,ok,1500,194700,conflict_aware,0.9541501976284585,0.8046666666666666,1500,1265,19369,0,3090,0.06456333333333333,925.8224,15283
0,1220,0,0,0,priority,1220,0,,budget_sensitivity,4,152,lacam_official,True,20,random_walk,434,0,101.33333333333333,astar,24199,1499,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",668.0,1395.773542986717,609.3649111367218,162.21311475409837,722.6864424266846,159.0655737704918,151.0,ours,lifelong,0,200,100,1705.661149905063,1193.4293858590536,10,24351,cd688bef0c1effd0e1af620d677101ccad1a72b20b48d15af1df556132bc7dd6,3440,1,2394.0,3591,9,94,0,1.0,0,ok,1500,194060,conflict_aware,0.9807073954983923,0.8133333333333334,1500,1244,20573,0,3591,0.06857666666666666,930.2738,17133
0,1226,0,0,0,priority,1226,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,347,0,100.0,astar,24939,1499,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",664.0,1431.5106240101159,609.2837923343759,157.45758564437193,819.0148234398415,155.7716150081566,144.0,ours,lifelong,0,200,100,1799.1192891437092,1195.4719025670781,10,25089,566739ca1ea7f1a7fd49363fcd419364c9c1a732190066e4483aebb4471eb53f,3027,1,2040.0,3060,2,106,0,1.0,0,ok,1500,190976,conflict_aware,0.9753381066030231,0.8173333333333334,1500,1257,19138,0,3060,0.06379333333333333,930.2393,16111
0,1223,0,0,0,priority,1223,0,,budget_sensitivity,4,151,lacam_official,True,20,random_walk,370,0,100.66666666666667,astar,26086,1499,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",528.0,1229.5828409842215,614.6060050134547,155.6238757154538,786.9869248138968,155.28209321340964,145.0,ours,lifelong,0,200,100,2007.2637536010004,1171.4415180322248,10,26237,76c7a21506037a28434f3c340cec81253e0e8707592c48d7b417442eb052db4b,3216,1,2080.0,3120,6,104,0,1.0,0,ok,1500,189910,conflict_aware,0.962992125984252,0.8153333333333334,1500,1270,19424,0,3120,0.06474666666666666,938.348,16208
0,1243,0,0,0,priority,1243,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,0,0,100.0,astar,10635,1482,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",509.0,1278.9347980287857,631.3394862631491,126.27835880933226,334.9437065748498,125.20273531777957,113.0,no_buffer,lifelong,3549,200,100,1581.4621834986608,1183.186839253176,10,10785,a7dccf37e74dcd4a5b07b806d1f8be236a1486c2155a565f621d3090d410ca10,780,1,0.0,0,1,39,0,1.0,0,ok,1500,155627,conflict_aware,0.97643362136685,0.8286666666666667,1500,1273,22420,0,0,0.07473333333333333,964.0441,21640
0,1277,0,0,0,priority,1277,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,350,0,100.0,astar,28486,1499,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",742.0,1206.186023016926,640.6730937196795,159.74158183241974,882.1300901798531,156.98981989036804,150.0,ours,lifelong,0,200,100,2012.253553391201,1166.4104599825805,10,28636,be5f982edd54aa749c8d8c5d89e654bcc2f62d0a42526855ede99ce0d576f52c,3625,1,2000.0,3000,4,117,0,1.0,0,ok,1500,200476,conflict_aware,0.9608728367193379,0.8513333333333334,1500,1329,18387,0,3000,0.06129,978.3615,14762
0,1154,0,0,0,priority,1154,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,352,0,100.0,astar,23665,1499,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",529.0,1235.7226770254783,643.87490676293,154.98613518197573,803.2478584411243,153.5476603119584,142.0,ours,lifelong,0,200,100,1792.0949441788248,1191.7438215430593,10,23815,330c7ae13cb39b89ca1f7f323abcf3c486e94382901ab4b7fcc84231c4d369f9,3555,1,2079.3333333333335,3119,8,104,0,1.0,0,ok,1500,177194,conflict_aware,0.9529314616019818,0.7693333333333333,1500,1211,18341,0,3119,0.061136666666666666,982.3452,14786
