applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,auction_epsilon,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,max_rounds,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
3,lacam_official,True,40,20,1,congestion_avoidance,0,779,,0,0,0,priority,779,35,0,,allocator_comparison_fov3_safe1,3,0,115,lacam_official,True,40,random_walk,170,0,57.5,0.5,astar,4826,True,1964,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",696.0,0,14369.869997026399,5,208.835948270862,149.18356867779204,510.0323530379683,147.53915275994865,132.0,ours,lifelong,0,100,60,740.881636668928,57.78885688632723,20,4941,eb2aa2033ef068e1197433ad5277919355feb7b43cd9b24db9e6de0c48bb1c3e,220,1,605.5,1211,1,4,0,10.0,0,ok,2000,114933,congestion_avoidance,0.9786432160804021,0.3895,2000,796,17829,0,2000,1211,2000,0.089145,429.146,17609
3,lacam_official,True,40,20,1,congestion_avoidance,0,789,,0,0,0,priority,789,29,0,,allocator_comparison_fov3_safe1,3,0,114,lacam_official,True,40,random_walk,169,0,57.0,0.5,astar,4687,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1050.0,0,13261.591830058023,5,252.06402711605188,147.7617237008872,915.1975877844451,146.3510773130545,136.0,ours,lifelong,0,100,60,720.0497313868254,12292.905148153659,20,4801,7461a9a8932aaeb162f027e09371c12f9ab0f7bee0fe4996a7974fc0f4bd615a,395,1,714.0,1428,5,8,0,10.0,0,ok,2000,115471,congestion_avoidance,0.9813432835820896,0.3945,2000,804,16640,0,2000,1428,2000,0.0832,515.8252,16245
3,lacam_official,True,40,20,1,congestion_avoidance,0,794,,0,0,0,priority,794,34,0,,allocator_comparison_fov3_safe1,3,0,112,lacam_official,True,40,random_walk,185,0,56.0,0.5,astar,5694,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",481.0,0,13748.313992051408,5,317.79701617429964,147.36272040302268,1916.909837270006,144.98614609571788,134.0,ours,lifelong,0,100,60,725.6138248369097,12529.462062509265,20,5806,9062706a805db8fa4fd9158eb24a50c464448956545c1a79e2f3ed89703738e5,561,1,745.0,1490,2,17,0,10.0,0,ok,2000,115119,congestion_avoidance,0.9754299754299754,0.397,2000,814,16997,0,2000,1490,2000,0.084985,647.5283,16436
3,lacam_official,True,40,20,1,congestion_avoidance,0,803,,0,0,0,priority,803,34,0,,allocator_comparison_fov3_safe1,3,0,114,lacam_official,True,40,random_walk,123,0,57.0,0.5,astar,6265,True,1978,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",686.0,0,13757.918036077172,5,339.64603862247895,152.74470734744708,2554.2575717544214,151.78455790784557,145.0,ours,lifelong,0,100,60,708.7618622579612,12948.041355528403,20,6379,8b51f41bb8519461df6de48f386af3a7d5d0d691ab78cd465fe1072b4195fa4c,447,1,474.0,948,0,23,0,10.0,0,ok,2000,121883,congestion_avoidance,0.9828641370869033,0.4015,2000,817,17107,0,2000,948,2000,0.085535,690.9155,16660
3,lacam_official,True,40,20,1,congestion_avoidance,0,772,,0,0,0,priority,772,33,0,,allocator_comparison_fov3_safe1,3,0,111,lacam_official,True,40,random_walk,223,0,55.5,0.5,astar,4936,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",584.0,0,14431.666197022423,5,288.451901488821,140.0336787564767,1164.9884346385932,139.25647668393782,126.5,ours,lifelong,0,100,60,767.3422641586512,12261.588929453865,20,5047,65213bcb89fb0be7740cafcf759e020bfe51d3c2ccf579388c871bb2d6d9eee7,292,1,877.0,1754,6,10,0,10.0,0,ok,2000,107506,congestion_avoidance,0.9784537389100126,0.386,2000,789,16622,0,2000,1754,2000,0.08311,589.836,16330
3,lacam_official,True,40,20,1,congestion_avoidance,0,831,,0,0,0,priority,831,19,0,,allocator_comparison_fov3_safe1,3,0,112,lacam_official,True,40,random_walk,146,0,56.0,0.5,astar,6125,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",666.0,0,13825.555749004707,5,388.12172923854087,143.74127557160048,3102.215920631092,142.37304452466907,133.0,ours,lifelong,0,100,60,697.9309117654338,13293.019933707546,20,6237,6127bce74710e3e67e247362fd1aed886c0ecb16d2456e7814c0558a944a19ef,679,1,623.5,1247,4,27,0,10.0,0,ok,2000,118312,congestion_avoidance,0.9822695035460993,0.4155,2000,846,13782,0,2000,1247,2000,0.06891,788.2629,13103
3,lacam_official,True,40,20,1,congestion_avoidance,0,773,,0,0,0,priority,773,30,0,,allocator_comparison_fov3_safe1,3,0,104,lacam_official,True,40,random_walk,207,0,52.0,0.5,astar,5657,True,1986,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",805.0,0,14162.455450976267,5,431.00202326651197,141.751617076326,3577.978870811281,141.07891332470894,124.0,ours,lifelong,0,100,60,845.463568146806,13420.357647561468,20,5761,fe1ff9c1dfcae6d248082215fa4e5077f2252d05589baa484d65746ef5897096,1759,1,795.5,1591,3,29,0,10.0,0,ok,2000,109054,congestion_avoidance,0.97724399494311,0.3865,2000,791,16608,0,2000,1591,2000,0.08304,874.4935,14849
3,lacam_official,True,40,20,1,congestion_avoidance,0,777,,0,0,0,priority,777,24,0,,allocator_comparison_fov3_safe1,3,0,109,lacam_official,True,40,random_walk,157,0,54.5,0.5,astar,5912,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",595.0,0,13887.846329016611,5,358.98070955241565,147.75289575289574,2557.191877886482,147.47232947232948,138.0,ours,lifelong,0,100,60,744.1439843038097,12924.909015651792,20,6021,57863b57486bce7b2402a3638be4ab54a0ceff886803ea790cd011fdef2b8be7,634,1,669.5,1339,9,22,0,10.0,0,ok,2000,114586,congestion_avoidance,0.9798234552332913,0.3885,2000,793,17036,0,2000,1339,2000,0.08518,730.4097,16402
3,lacam_official,True,40,20,1,congestion_avoidance,0,790,,0,0,0,priority,790,20,0,,allocator_comparison_fov3_safe1,3,0,102,lacam_official,True,40,random_walk,201,0,51.0,0.5,astar,5984,True,1977,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",604.0,0,13377.479408867657,5,390.97609183960594,143.57974683544305,3238.2090917614964,142.07848101265822,130.0,ours,lifelong,0,100,60,796.6728314291685,13133.820299268698,20,6086,1416290a6c58c9ce4440bdfeb90a9c90944fdea0c4b85dca8ba6be820dae7c51,497,1,765.0,1530,8,26,0,10.0,0,ok,2000,112242,congestion_avoidance,0.9875,0.395,2000,800,13604,0,2000,1530,2000,0.06802,794.078,13107
3,lacam_official,True,40,20,1,congestion_avoidance,0,808,,0,0,0,priority,808,18,0,,allocator_comparison_fov3_safe1,3,0,105,lacam_official,True,40,random_walk,128,0,52.5,0.5,astar,6648,True,1954,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",472.0,0,13316.17776909843,5,427.52130469470285,141.9789603960396,3802.393933944404,141.72277227722773,128.5,ours,lifelong,0,100,60,742.7845158497802,12842.171919858083,20,6753,b8f8af46519a16d7609c7b3bca2499b628a0ef3d7bf52e1075404826cc38f426,500,1,654.5,1309,7,32,0,10.0,0,ok,2000,114512,congestion_avoidance,0.9901960784313726,0.404,2000,816,13349,0,2000,1309,2000,0.066745,867.5899,12849
