global_solver,num_humans,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,solver_errors_mean,wall_s_mean
lacam3,25,0.7925,0.0188,0.0117,0,3925.9,1585.0,3213.5,56.5,2889.0668
lacam3,50,0.7952,0.0149,0.0092,0,6401.9,1590.5,4032.1,68.0,2864.6562
lacam3,75,0.7918,0.016,0.0099,0,8370.8,1583.7,5001.5,77.3,2819.1104
lacam3,100,0.7802,0.0103,0.0064,0,7697.6,1560.5,6330.0,88.4,2428.18
lacam3,150,0.7466,0.0137,0.0085,0,10410.8,1493.3,11127.0,94.6,2454.0145
lacam3,200,0.6701,0.0233,0.0144,0,15434.7,1340.2,16565.7,94.8,2699.5779
lacam3,250,0.5613,0.017,0.0106,0,21896.2,1122.6,22833.4,96.1,2723.912
lacam_official,25,0.7941,0.0198,0.0123,0,3594.0,1588.2,3191.3,60.2,1910.8425
lacam_official,50,0.7948,0.0162,0.0101,0,6423.8,1589.5,3748.5,70.1,1902.8128
lacam_official,75,0.7935,0.015,0.0093,0,8202.0,1587.0,4996.4,83.1,1880.7404
lacam_official,100,0.7787,0.0102,0.0063,0,8031.5,1557.4,6520.1,90.0,1775.7792
lacam_official,150,0.7466,0.0133,0.0082,0,10303.3,1493.3,10852.8,95.0,1793.8222
lacam_official,200,0.6626,0.0285,0.0177,0,15783.0,1325.2,16887.8,95.1,1905.4726
lacam_official,250,0.5628,0.0173,0.0107,0,21531.2,1125.5,22524.1,94.0,1959.2458
lns2,25,0.7948,0.0169,0.0105,0,3639.3,1589.6,2720.5,58.5,1425.5884
lns2,50,0.7967,0.0138,0.0086,0,5959.8,1593.4,3875.1,69.4,1214.3421
lns2,75,0.7907,0.0145,0.009,0,7785.6,1581.5,4828.9,79.0,1033.118
lns2,100,0.7756,0.0139,0.0086,0,7457.8,1551.2,6300.2,88.7,844.6748
lns2,150,0.7416,0.0075,0.0046,0,10256.2,1483.3,11099.2,94.8,878.005
lns2,200,0.6598,0.0163,0.0101,0,15465.4,1319.5,16820.0,91.5,985.9488
lns2,250,0.5602,0.0208,0.0129,0,21495.4,1120.5,22272.9,94.5,1043.2474
pibt2,25,0.782,0.015,0.0093,0,3090.4,1564.1,1173.1,0.0,1012.1938
pibt2,50,0.7836,0.0184,0.0114,0,5819.0,1567.1,2276.3,0.0,1038.384
pibt2,75,0.7836,0.014,0.0087,0,8284.1,1567.2,3811.7,0.0,1030.8715
pibt2,100,0.7832,0.0171,0.0106,0,10044.2,1566.5,5626.6,0.0,1032.4187
pibt2,150,0.7724,0.013,0.008,0,12128.2,1544.9,11938.2,0.0,937.6859
pibt2,200,0.7564,0.018,0.0111,0,14678.9,1512.8,19984.2,0.0,944.6842
pibt2,250,0.6966,0.0133,0.0082,0,19918.1,1393.3,27441.2,0.0,1052.4222
