global_solver,num_humans,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,solver_errors_mean,wall_s_mean
lacam3,25,1.4656,0.0191,0.0119,0,8281.7,2931.2,8061.8,97.7,1421.5598
lacam3,50,1.4252,0.0232,0.0144,0,15432.3,2850.3,13269.4,99.1,1550.7756
lacam3,75,1.3287,0.0203,0.0126,0,22411.8,2657.5,18648.0,100.0,1636.4735
lacam3,100,1.207,0.0253,0.0157,0,30691.2,2413.9,24094.5,100.0,1697.0438
lacam3,150,0.9476,0.0187,0.0116,0,50835.7,1895.2,38968.9,100.0,1812.9547
lacam3,200,0.7382,0.0257,0.0159,0,76106.5,1476.4,56606.7,100.0,1883.4696
lacam3,250,0.5857,0.0145,0.009,0,104542.1,1171.4,75569.1,99.8,1909.6382
lacam_official,25,1.4654,0.0191,0.0118,0,8243.8,2930.8,8026.3,97.6,1336.9372
lacam_official,50,1.4207,0.0195,0.0121,0,15510.5,2841.4,13222.7,99.3,1434.3975
lacam_official,75,1.3238,0.018,0.0112,0,22681.5,2647.6,18769.3,100.0,1513.6467
lacam_official,100,1.207,0.0253,0.0157,0,30691.2,2413.9,24094.5,100.0,1565.6564
lacam_official,150,0.9474,0.0184,0.0114,0,50906.9,1894.7,38976.4,99.9,1649.6082
lacam_official,200,0.7402,0.025,0.0155,0,75892.4,1480.3,56560.2,100.0,1717.9342
lacam_official,250,0.582,0.0178,0.0111,0,104695.9,1164.1,75651.8,99.8,1858.537
lns2,25,1.4652,0.0201,0.0125,0,8410.2,2930.5,8142.7,98.0,308.3405
lns2,50,1.424,0.0222,0.0138,0,15432.6,2848.1,13190.6,99.0,387.5399
lns2,75,1.3254,0.018,0.0112,0,22663.5,2650.9,18726.8,100.0,458.4905
lns2,100,1.207,0.0253,0.0157,0,30691.2,2413.9,24094.5,100.0,508.2842
lns2,150,0.9524,0.0283,0.0175,0,50655.7,1904.8,38871.3,99.8,595.4507
lns2,200,0.7421,0.0258,0.016,0,75889.7,1484.1,56620.7,99.9,647.2137
lns2,250,0.5846,0.0147,0.0091,0,104131.4,1169.3,75304.7,99.9,681.7798
pibt2,25,1.4919,0.024,0.0149,0,11212.8,2983.9,5660.4,0.0,591.3152
pibt2,50,1.4976,0.0223,0.0138,0,20595.7,2995.1,10515.5,0.0,628.0207
pibt2,75,1.4968,0.0222,0.0138,0,26066.3,2993.7,17859.4,0.0,592.7276
pibt2,100,1.4826,0.023,0.0143,0,25353.7,2965.2,28248.6,0.0,499.2432
pibt2,150,1.3706,0.0257,0.0159,0,40801.7,2741.2,47014.9,0.0,612.5673
pibt2,200,1.0716,0.0228,0.0141,0,66310.5,2143.3,65667.6,0.0,653.225
pibt2,250,0.8536,0.0138,0.0086,0,98481.2,1707.1,87438.7,0.0,684.8775
