applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
2,lacam_official,True,40,20,1,congestion_avoidance,0,821,0,0,0,priority,821,22,0,,fov_safety_sweep,2,106,lacam_official,True,40,random_walk,141,0,53.0,astar,5823,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",436.0,14103.301621042192,323.41363551985705,137.7551766138855,3110.652954125434,136.73812423873326,129.0,ours,lifelong,0,100,50,557.0547216222622,12870.191079797223,20,5929,0e10aae9a86d07267ef8e3ee57ec546c0d1839c58eb23663694fc82d0a24048f,320,1,578.5,1157,4,26,0,10.0,0,ok,2000,112262,congestion_avoidance,0.9797136038186157,0.4105,2000,838,13904,0,2000,1157,2000,0.06952,656.4818,13584
2,lacam_official,True,40,20,1,congestion_avoidance,0,792,0,0,0,priority,792,25,0,,fov_safety_sweep,2,106,lacam_official,True,40,random_walk,162,0,53.0,astar,5581,True,1979,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",666.0,14078.70980806183,332.88193306472385,137.55050505050505,3238.849922089908,136.9280303030303,124.0,ours,lifelong,0,100,50,632.4221264338121,13116.482809942681,20,5687,dc5b790d78304b30166c5692d5369333648f6f9555007f082756c6700fe4aecd,444,1,577.0,1154,0,27,0,10.0,0,ok,2000,108447,congestion_avoidance,0.9838509316770186,0.396,2000,805,14494,0,2000,1154,2000,0.07247,675.0214,14050
2,lacam_official,True,40,20,1,congestion_avoidance,0,825,0,0,0,priority,825,24,0,,fov_safety_sweep,2,106,lacam_official,True,40,random_walk,160,0,53.0,astar,5490,True,1910,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",449.0,14414.763272041455,333.6721057781251,136.1090909090909,3175.8272180087724,135.40363636363637,122.0,ours,lifelong,0,100,50,558.8887852616608,13540.747990773525,20,5596,c25b02ddba5c8971979115784d63f2e3fb082d61ae727aae78f5e8095e2d1756,492,1,632.0,1264,7,26,0,10.0,0,ok,2000,111708,congestion_avoidance,0.9868421052631579,0.4125,2000,836,14479,0,2000,1264,2000,0.072395,677.2972,13987
2,lacam_official,True,40,20,1,congestion_avoidance,0,782,0,0,0,priority,782,26,0,,fov_safety_sweep,2,104,lacam_official,True,40,random_walk,156,0,52.0,astar,5497,True,1975,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",559.0,13870.67232397385,338.5657883104286,139.52685421994886,3455.6185714139315,138.00127877237853,127.0,ours,lifelong,0,100,50,564.6456631307956,13341.512797767064,20,5601,6865362d4759f55af532e6b8fb6d686e021ac64f22f1847a516baf6d83dd4b7d,287,1,608.0,1216,8,28,0,10.0,0,ok,2000,107917,congestion_avoidance,0.988621997471555,0.391,2000,791,14331,0,2000,1216,2000,0.071655,686.4593,14044
2,lacam_official,True,40,20,1,congestion_avoidance,0,782,0,0,0,priority,782,29,0,,fov_safety_sweep,2,102,lacam_official,True,40,random_walk,155,0,51.0,astar,5388,True,1985,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",666.0,15112.987054046243,377.69725613860646,140.53580562659846,4343.643376488449,139.39641943734014,124.0,ours,lifelong,0,100,50,565.2799286006484,13720.946490968343,20,5490,15fc7d7553e2dfd1c98f3cc9ab87bdd96e94de906de66aa27922651e85d5e2a8,1581,1,614.5,1229,3,32,0,10.0,2,ok,2000,109008,congestion_avoidance,0.9836477987421384,0.391,2000,795,18056,0,2000,1229,2000,0.09028,764.1254,16475
3,lacam_official,True,40,20,1,congestion_avoidance,0,777,0,0,0,priority,777,27,0,,fov_safety_sweep,3,102,lacam_official,True,40,random_walk,149,0,51.0,astar,5389,True,1987,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",638.0,14431.937293033116,379.07538126723375,138.87644787644788,4283.051627046684,137.53281853281854,123.0,ours,lifelong,0,100,50,581.2890283996239,13641.569588874698,20,5491,453a148fe9041d66c5166af9201ddaf4d2bc6cca516d75b58e66b08e9ecce4fb,1215,1,572.5,1145,3,34,0,10.0,0,ok,2000,106863,congestion_avoidance,0.9773584905660377,0.3885,2000,795,16195,0,2000,1145,2000,0.080975,767.5222,14980
3,lacam_official,True,40,20,1,congestion_avoidance,0,777,0,0,0,priority,777,25,0,,fov_safety_sweep,3,107,lacam_official,True,40,random_walk,168,0,53.5,astar,5080,True,1978,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",593.0,14358.497776906006,272.64386445318814,136.21879021879022,2175.784902928928,134.88159588159587,123.0,ours,lifelong,0,100,50,608.2979543018155,13308.457900362551,20,5187,c49f293f32ea40729b2c4fb333e178eedb13b634dad875d8780c23c6c1bd029e,374,1,694.0,1388,6,18,0,10.0,0,ok,2000,104803,congestion_avoidance,0.9785894206549118,0.3885,2000,794,14478,0,2000,1388,2000,0.07239,554.3553,14104
3,lacam_official,True,40,20,1,congestion_avoidance,0,780,0,0,0,priority,780,31,0,,fov_safety_sweep,3,109,lacam_official,True,40,random_walk,121,0,54.5,astar,4788,True,1971,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",626.0,14233.21166797541,258.86945022136206,142.64743589743588,1919.601464381339,142.01282051282053,128.0,ours,lifelong,0,100,50,599.6371553046628,12930.779470549896,20,4897,d74a77073151e35a35df4ad9dd1965067412671dac200fe939f76b053e8967a6,661,1,569.5,1139,9,16,0,10.0,0,ok,2000,110770,congestion_avoidance,0.972568578553616,0.39,2000,802,17727,0,2000,1139,2000,0.088635,526.9099,17066
3,lacam_official,True,40,20,2,congestion_avoidance,0,783,0,0,0,priority,783,32,0,,fov_safety_sweep,3,115,lacam_official,True,40,random_walk,256,0,57.5,astar,6852,True,1994,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",553.0,13244.250193005428,217.90025154710747,148.4712643678161,1535.7891040094926,147.41890166028097,136.0,ours,lifelong,0,100,50,419.62374675204035,12587.408500839956,20,6967,46dfee024fab4a115911bca0052b939fa91e5f3c9086eb2d8a5360cef49665ed,547,2,1643.0,3286,2,14,0,10.0,0,ok,2000,115429,congestion_avoidance,0.9714640198511166,0.3915,2000,806,17236,0,2000,3286,2000,0.08618,444.2187,16689
3,lacam_official,True,40,20,2,congestion_avoidance,0,768,0,0,0,priority,768,23,0,,fov_safety_sweep,3,114,lacam_official,True,40,random_walk,242,0,57.0,astar,6209,True,1977,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",522.0,13791.86757397838,257.1113158900407,149.47786458333334,1799.1309035600066,149.01041666666666,136.0,ours,lifelong,0,100,50,532.1198267862198,12717.624402220827,20,6323,a97cb4471694f948e81217c9ae742a20d15df74d501922f7cab92a9d298f7832,568,2,1481.0,2962,1,16,0,10.0,0,ok,2000,114440,congestion_avoidance,0.9795918367346939,0.384,2000,784,16678,0,2000,2962,2000,0.08339,523.9251,16110
