metric,condition_key,condition,n,reference_mean,condition_mean,mean_diff,ci95_lo,ci95_hi,shapiro_p,wilcoxon_stat,wilcoxon_p,sign_test_p,cohens_d,rank_biserial_r,power,raw_p_value,adj_p_value,verdict
throughput,150/token,token,10,0.6108666666666667,0.6108666666666667,0.0,-0.0014000000000000013,0.0014000000000000013,0.812030929586155,25.5,0.865234375,1.0,0.0,-0.07272727272727272,0.04999999999543215,0.865234375,0.865234375,ns
throughput,250/token,token,10,1.0254,1.0234666666666665,-0.0019333333333333758,-0.005066666666666686,0.001133333333333264,0.8923816175732335,14.0,0.359375,1.0,-0.364115553947353,-0.32727272727272727,0.1780627942797866,0.359375,0.796875,ns
throughput,50/token,token,10,0.20939999999999998,0.20986666666666665,0.00046666666666666243,-0.0005333333333333385,0.0013999999999999985,0.36447746079785753,13.0,0.53125,0.7265625,0.2855095648924911,0.2545454545454545,0.12783380114814766,0.53125,0.796875,ns
violations_exogenous_attributable,150/token,token,10,2335.6,2322.4,-13.2,-165.046197584893,101.94759744424292,0.7804525824172378,26.0,0.921875,1.0,-0.059253053915771944,-0.05454545454545454,0.05325121777910286,0.921875,0.921875,ns
violations_exogenous_attributable,250/token,token,10,3635.9,3638.4,2.5,-176.1,146.94025047269102,0.06558801618828748,26.0,0.921875,0.75390625,0.009081337451983798,-0.05454545454545454,0.05007623557550485,0.921875,0.921875,ns
violations_exogenous_attributable,50/token,token,10,690.9,673.8,-17.1,-84.72889798794608,48.31547281858929,0.4200696624190168,20.0,0.4921875,0.75390625,-0.1515677273505485,-0.2727272727272727,0.07147230284494122,0.4921875,0.921875,ns
wait_fraction,150/token,token,10,0.05958266666666667,0.05734311111111111,-0.002239555555555556,-0.005406682258335275,0.0023930934022286378,0.27026191347607487,16.0,0.275390625,0.34375,-0.3411203959998463,-0.41818181818181815,0.16205839705178338,0.275390625,0.4130859375,ns
wait_fraction,250/token,token,10,0.07340026666666667,0.07209413333333332,-0.0013061333333333341,-0.0045327240945405795,0.0010206472348398342,0.3467816923330289,23.0,0.6953125,1.0,-0.2818287685578216,-0.16363636363636364,0.12579411831620538,0.6953125,0.6953125,ns
wait_fraction,50/token,token,10,0.030765333333333332,0.027849333333333337,-0.0029159999999999993,-0.005751385620942765,-0.0002797254138563011,0.38027749613000383,12.0,0.130859375,0.109375,-0.6147803489396984,-0.5636363636363636,0.41195709403541725,0.130859375,0.392578125,ns
