applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,max_rounds,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
3,lacam_official,True,40,20,1,congestion_avoidance,0,403,0,0,0,priority,403,1,0,,scaling_agents_fov3_safe1,3,150,lacam_official,True,40,random_walk,155,0,75.0,0.5,astar,3442,True,1986,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",503.0,15170.650052139536,5,51.74563209828921,151.09925558312656,117.32523219349484,149.83622828784118,142.0,ours,lifelong,0,50,100,185.11815182864666,21.190189372282475,20,3592,b46e01e1b45191535478863d4103b006a31462ab49ba672c6ded03dfa18e18e4,215,1,617.0,1234,6,0,0,10.0,1,ok,2000,60384,congestion_avoidance,0.9901719901719902,0.2015,2000,407,2601,0,2000,1234,2000,0.02601,107.8717,2386
3,lacam_official,True,40,20,1,congestion_avoidance,0,189,0,0,0,priority,189,3,0,,scaling_agents_fov3_safe1,3,159,lacam_official,True,40,random_walk,49,0,79.5,0.5,astar,2131,True,1974,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",496.0,15149.801590945572,5,74.70245981262997,167.7195767195767,672.3472240758744,162.95767195767195,157.0,ours,lifelong,0,25,100,85.91187185375016,17.561200913041795,20,2290,4e166be14bc434c24ac5b8790ad028ed2fe8186c5fa1945a1965779d59a2aa9e,108,1,214.0,428,7,2,0,10.0,5,ok,2000,30799,congestion_avoidance,0.9742268041237113,0.0945,2000,194,1405,0,2000,428,2000,0.0281,151.7484,1297
3,lacam_official,True,40,20,1,congestion_avoidance,0,391,0,0,0,priority,391,8,0,,scaling_agents_fov3_safe1,3,144,lacam_official,True,40,random_walk,174,0,72.0,0.5,astar,3736,True,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",563.0,15118.131024064496,5,85.98761096771341,152.80562659846547,527.0859517525727,151.77237851662403,140.0,ours,lifelong,0,50,100,211.19374396512282,28.290913929231458,20,3880,a51da441facd4a16d993ac68a5bfa186f175b5967228931b5b74a6b007bb52b3,275,1,603.0,1206,1,3,0,10.0,2,ok,2000,59343,congestion_avoidance,0.9873737373737373,0.1955,2000,396,4061,0,2000,1206,2000,0.04061,176.9471,3786
3,lacam_official,True,40,20,1,congestion_avoidance,0,415,0,0,0,priority,415,6,0,,scaling_agents_fov3_safe1,3,186,lacam_official,True,40,random_walk,95,0,93.0,0.5,astar,4788,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",440.0,14948.893145192415,5,86.33710952638648,169.42409638554216,456.2132627119921,166.75180722891565,156.0,ours,lifelong,0,50,100,161.47709576180205,26.57818200532347,20,4974,877e950c2a8b27c869ea67d92fe2907977d4db7625d211dd06de466732c672e9,324,1,404.5,809,5,6,0,10.0,0,ok,2000,69202,congestion_avoidance,0.9651162790697675,0.2075,2000,430,3010,0,2000,809,2000,0.0301,177.356,2686
3,lacam_official,True,40,20,1,congestion_avoidance,0,427,0,0,0,priority,427,6,0,,scaling_agents_fov3_safe1,3,189,lacam_official,True,40,random_walk,73,0,94.5,0.5,astar,4946,True,1970,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",728.0,15139.01429087855,5,92.73476751404814,179.66744730679156,526.22851434351,174.423887587822,170.0,ours,lifelong,0,50,100,165.60742489527905,33.87187728658315,20,5135,cd4888520cca6feb831f23e0020ac20e15b44ba39b2dc7117cb5d547875094e2,294,1,294.0,588,2,6,0,10.0,1,ok,2000,74479,congestion_avoidance,0.9930232558139535,0.2135,2000,430,3614,0,2000,588,2000,0.03614,190.3383,3320
3,lacam_official,True,40,20,1,congestion_avoidance,0,401,0,0,0,priority,401,9,0,,scaling_agents_fov3_safe1,3,160,lacam_official,True,40,random_walk,128,0,80.0,0.5,astar,4196,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",484.0,14534.51249212958,5,95.22856384410989,163.35162094763092,620.5115556105739,160.30423940149626,156.0,ours,lifelong,0,50,100,210.37568083265796,25.60816125478545,20,4356,a09330e1ad9239129e4a0b9fcb9370f8f9c09e76c66ab572bd08baa976dd37d7,233,1,488.5,977,3,7,0,10.0,0,ok,2000,64282,congestion_avoidance,0.9733009708737864,0.2005,2000,412,3487,0,2000,977,2000,0.03487,195.0662,3254
3,lacam_official,True,40,20,1,congestion_avoidance,0,415,0,0,0,priority,415,6,0,,scaling_agents_fov3_safe1,3,165,lacam_official,True,40,random_walk,109,0,82.5,0.5,astar,4092,True,1983,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",483.0,15138.76268081367,5,101.38670764467679,157.7012048192771,614.5201438826255,156.93493975903615,147.0,ours,lifelong,0,50,100,200.3592328750528,26.25892357900738,20,4257,4c49cb2e7ab27a0fbeea176b51d99826759e879011dded9f5269a2bf61385385,289,1,433.5,867,9,6,0,10.0,1,ok,2000,65128,congestion_avoidance,0.9857482185273159,0.2075,2000,421,3560,0,2000,867,2000,0.0356,207.6569,3271
3,lacam_official,True,40,20,1,congestion_avoidance,0,417,0,0,0,priority,417,1,0,,scaling_agents_fov3_safe1,3,169,lacam_official,True,40,random_walk,69,0,84.5,0.5,astar,4473,True,1987,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",472.0,15114.97404705733,5,108.09992848476395,161.32374100719426,703.4923100951486,160.72901678657075,156.0,ours,lifelong,0,50,100,197.17580844881013,70.01992394216337,20,4642,21730c0db083104a1a639163e0181ff948c70cf1985b67cd6b468568555cde70,244,1,342.0,684,7,5,0,10.0,3,ok,2000,67024,congestion_avoidance,0.9858156028368794,0.2085,2000,423,2634,0,2000,684,2000,0.02634,220.8296,2390
3,lacam_official,True,40,20,1,congestion_avoidance,0,404,0,0,0,priority,404,6,0,,scaling_agents_fov3_safe1,3,164,lacam_official,True,40,random_walk,104,0,82.0,0.5,astar,4558,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",603.0,15153.974076034501,5,149.91034292604309,160.90841584158414,1198.2471126517871,157.68316831683168,150.0,ours,lifelong,0,50,100,211.7447874974459,14798.44576130854,20,4722,86c7fde6e2201695b69f0891534cb06a466199080839c988cfdf4e4339809c14,555,1,418.0,836,8,7,0,10.0,6,ok,2000,63704,congestion_avoidance,0.9853658536585366,0.202,2000,410,3151,0,2000,836,2000,0.03151,304.6209,2596
3,lacam_official,True,40,20,1,congestion_avoidance,0,604,0,0,0,priority,604,15,0,,scaling_agents_fov3_safe1,3,160,lacam_official,True,40,random_walk,193,0,80.0,0.5,astar,6141,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",756.0,15152.472828049213,5,143.83845568436664,163.28973509933775,699.4263226137264,162.26490066225165,151.0,ours,lifelong,0,75,100,364.4041575258597,701.7356005262432,20,6301,3a8dd0b61bfbd7dc808044c5f63a90e57478d545dd595e43bde90dcc0529bee9,424,1,746.5,1493,2,7,0,10.0,1,ok,2000,98008,congestion_avoidance,0.9869281045751634,0.302,2000,612,8173,0,2000,1493,2000,0.05448666666666667,294.8999,7749
