Deadlock count__mean,Deadlock count__std,Def-1 agent-attr.__mean,Def-1 agent-attr.__std,H,Local replans__mean,Local replans__std,N_x norm.__mean,N_x norm.__std,Service time (steps)__mean,Service time (steps)__std,Throughput__mean,Throughput__std,Util.__mean,Util.__saturated,Util.__std,Wait fraction__mean,Wait fraction__std,Wall (s)__mean,Wall (s)__std,map,n_seeds,throughput_utilization_mean
7.8,3.32665998663324,,,10,19483.3,970.9925105558516,,,65.98674637101274,1.5346197409902795,0.75425,0.014572138560356272,0.9966903587098386,True,,0.0393455,0.002670310479243107,2008.7502299999999,237.64570890236322,random,10,0.9966903587098386
27.4,3.921450978627398,,,10,8539.4,1689.419505826385,,,133.30708598532306,2.879139836739229,0.39635,0.009189516974369327,0.9834930388444284,True,,0.0458835,0.007080076525794838,1273.16511,439.67125897400877,warehouse,10,0.9834930388444284
5.7,2.3118054512532935,,,20,16527.6,612.7764138193745,,,68.79385800584829,1.687614428757759,0.75435,0.014866162173801874,0.9968156610471984,True,,0.057404,0.003241406416288391,1178.68364,166.33486031041383,random,10,0.9968156610471984
28.5,4.196559437338057,,,20,5993.1,863.854855349619,,,135.52837349012276,2.5386708174407024,0.39575,0.009877724659274736,0.9819751638432939,True,,0.061032,0.007646746657529884,783.45587,225.0592860103461,warehouse,10,0.9819751638432939
7.2,2.6583202716502514,,,30,16171.7,921.030588224107,,,70.76270634719258,1.6709465251953648,0.7547,0.014474498648005412,0.9972865314296606,True,,0.0713765,0.003916992929673363,997.78846,148.58152023208748,random,10,0.9972865314296606
28.3,5.578729445153459,,,30,5560.0,861.7167619222558,,,138.45346284263087,3.180857475244275,0.3961,0.00940389990021869,0.9828587729573741,True,,0.0710945,0.010902412691693524,682.79943,207.05151885631994,warehouse,10,0.9828587729573741
6.3,2.406010991015812,,,40,15460.2,636.2719195089121,,,72.37371251588111,1.9674807103117613,0.7544,0.014713561393792072,0.9968853530975854,True,,0.082512,0.007049440954982018,872.30579,94.30590923667805,random,10,0.9968853530975854
29.6,4.765617600176404,,,40,4982.0,436.7600409072851,,,142.34806442305762,3.0912140420019814,0.39545,0.009624765509409092,0.9812482227538893,True,,0.084447,0.008811977076683755,527.18929,101.07350347265377,warehouse,10,0.9812482227538893
6.4,2.6331223544175333,,,50,15611.0,896.1168078623084,,,76.39767459267588,4.319063247420145,0.75425,0.014397627119309137,0.9966940525220055,True,,0.104766,0.01513157071232931,762.07307,66.43580730056563,random,10,0.9966940525220055
24.5,3.8078865529319543,,,50,5019.3,433.89272867841424,,,143.15213749829866,1.9316097219387607,0.3963,0.009165757530674204,0.9833704391661291,True,,0.087019,0.007760251570950807,532.54276,80.41274812283878,warehouse,10,0.9833704391661291
7.1,2.5144029554194813,,,60,15675.2,1007.2752906286896,,,78.76323687516602,4.7332432856980216,0.7539,0.014356183336806475,0.9962334472091516,True,,0.1184585,0.018481268753043505,692.04591,60.48196572513624,random,10,0.9962334472091516
28.0,5.597618541248888,,,60,4832.1,368.9770995603928,,,143.77557985918088,3.122986497032093,0.39525,0.008577263225787361,0.9807919684499842,True,,0.0929655,0.007790853415669201,495.70891,80.37003322758565,warehouse,10,0.9807919684499842
5.6,2.1186998109427604,,,70,15552.4,1008.3854201422963,,,83.06986590225276,6.319863122798498,0.75445,0.014046450718162837,0.9969661654161448,True,,0.143291,0.028310529921646545,670.59173,52.22672318442285,random,10,0.9969661654161448
27.2,5.865151319446072,,,70,4915.6,484.3527640057399,,,144.76485823525258,3.142858045844844,0.3953,0.010019980039900267,0.9808434239030472,True,,0.094952,0.008989234054628287,504.83574,85.00005501886062,warehouse,10,0.9808434239030472
6.1,2.923088169119167,,,80,15602.5,1156.8500575076944,,,86.9099441673389,8.539347228230573,0.7541,0.014990367277392187,0.9964829390343688,True,,0.167432,0.039408474568013635,609.23814,32.68582089742007,random,10,0.9964829390343688
26.4,7.074209810603898,,,80,4805.8,370.3772251217519,,,146.89015393712677,3.3378332590565205,0.3961,0.009700515450222208,0.9828486747671215,True,,0.101558,0.010045297462549884,401.46743000000004,51.61151817007625,warehouse,10,0.9828486747671215
