Deleting pre-activation logs/calibration/raw_measurements.csv (archive at  _archived_greedy_v1_4_pre_direction_a/)
=== Calibration cohort: calibration_v1 ===
Started:        2026-05-13T10:24:29Z
Hostname:       iisl
Git commit:     c56f0fcd0ec7968d24253db17336970952445023
Active alloc:   conflict_aware
Workers:        32
CSV:            logs/calibration/raw_measurements.csv
Expected rows:  2160 (excluding header)
===
2026-05-13 13:24:29,665 INFO calibrate calibration grid: 720 cells × 3 replans/cell = 2160 invocations (time_limit=10.0s each)
2026-05-13 13:24:29,668 INFO calibrate running with 32 workers
2026-05-13 13:37:07,410 INFO calibrate progress: 300/720 cells (41.7%, elapsed 757.7s)
2026-05-13 13:37:09,462 INFO calibrate progress: 305/720 cells (42.4%, elapsed 759.8s)
2026-05-13 13:37:17,353 INFO calibrate progress: 310/720 cells (43.1%, elapsed 767.7s)
2026-05-13 13:37:20,178 INFO calibrate progress: 315/720 cells (43.8%, elapsed 770.5s)
2026-05-13 13:37:44,208 INFO calibrate progress: 320/720 cells (44.4%, elapsed 794.5s)
2026-05-13 13:37:54,887 INFO calibrate progress: 325/720 cells (45.1%, elapsed 805.2s)
2026-05-13 13:38:17,656 INFO calibrate progress: 330/720 cells (45.8%, elapsed 828.0s)
2026-05-13 13:38:18,796 INFO calibrate progress: 335/720 cells (46.5%, elapsed 829.1s)
2026-05-13 13:38:20,128 INFO calibrate progress: 340/720 cells (47.2%, elapsed 830.5s)
2026-05-13 13:38:23,467 INFO calibrate progress: 345/720 cells (47.9%, elapsed 833.8s)
2026-05-13 13:38:25,665 INFO calibrate progress: 350/720 cells (48.6%, elapsed 836.0s)
2026-05-13 13:38:29,245 INFO calibrate progress: 355/720 cells (49.3%, elapsed 839.6s)
2026-05-13 13:38:32,238 INFO calibrate progress: 360/720 cells (50.0%, elapsed 842.6s)
2026-05-13 13:38:38,425 INFO calibrate progress: 365/720 cells (50.7%, elapsed 848.8s)
2026-05-13 13:38:44,447 INFO calibrate progress: 370/720 cells (51.4%, elapsed 854.8s)
2026-05-13 13:38:48,498 INFO calibrate progress: 375/720 cells (52.1%, elapsed 858.8s)
2026-05-13 13:38:52,577 INFO calibrate progress: 380/720 cells (52.8%, elapsed 862.9s)
2026-05-13 13:39:06,905 INFO calibrate progress: 385/720 cells (53.5%, elapsed 877.2s)
2026-05-13 13:39:21,349 INFO calibrate progress: 390/720 cells (54.2%, elapsed 891.7s)
2026-05-13 13:39:41,158 INFO calibrate progress: 395/720 cells (54.9%, elapsed 911.5s)
2026-05-13 13:39:55,276 INFO calibrate progress: 400/720 cells (55.6%, elapsed 925.6s)
2026-05-13 13:40:18,719 INFO calibrate progress: 405/720 cells (56.2%, elapsed 949.1s)
2026-05-13 13:40:37,994 INFO calibrate progress: 410/720 cells (56.9%, elapsed 968.3s)
2026-05-13 13:40:49,717 INFO calibrate progress: 415/720 cells (57.6%, elapsed 980.1s)
2026-05-13 13:40:58,253 INFO calibrate progress: 420/720 cells (58.3%, elapsed 988.6s)
2026-05-13 13:41:03,298 INFO calibrate progress: 425/720 cells (59.0%, elapsed 993.6s)
2026-05-13 13:41:18,096 INFO calibrate progress: 430/720 cells (59.7%, elapsed 1008.4s)
2026-05-13 13:41:37,864 INFO calibrate progress: 435/720 cells (60.4%, elapsed 1028.2s)
2026-05-13 13:41:53,134 INFO calibrate progress: 440/720 cells (61.1%, elapsed 1043.5s)
2026-05-13 13:42:39,265 INFO calibrate progress: 445/720 cells (61.8%, elapsed 1089.6s)
2026-05-13 13:43:35,290 INFO calibrate progress: 450/720 cells (62.5%, elapsed 1145.6s)
2026-05-13 13:43:36,279 INFO calibrate progress: 455/720 cells (63.2%, elapsed 1146.6s)
2026-05-13 13:43:37,105 INFO calibrate progress: 460/720 cells (63.9%, elapsed 1147.4s)
2026-05-13 13:43:38,502 INFO calibrate progress: 465/720 cells (64.6%, elapsed 1148.8s)
2026-05-13 13:43:40,808 INFO calibrate progress: 470/720 cells (65.3%, elapsed 1151.1s)
