applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,max_rounds,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,False,40,20,1,congestion_avoidance,0,2889,0,0,0,priority,2889,0,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,466,0,50.0,0.5,astar,68194,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1361.0,0,11138.991679996252,5,0.13070800167574362,966.3489770026645,305.94807892004155,10617.54574651597,248.77466251298026,275.0,ours,lifelong,2,1022,400,100,1336.5856264363565,10893.64870195277,20,68294,0a6aa7ecd355d933f324053b841fc5d60ad56f2c77824fc6f0921d638be1968c,95,1,2337.0,4674,0,100,0,10.0,0,ok,2000,624.0,718710,congestion_avoidance,0.8994396014943961,1.4445,2000,3212,251657,1032,2000,3642,2000,0.31457125,1966.7599,251562
4,lacam_official,False,40,20,1,congestion_avoidance,0,2949,0,0,0,priority,2949,2,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,488,0,50.0,0.5,astar,70586,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1090.0,0,11129.065407905728,5,0.07300332778702164,977.4989255149849,294.2519498134961,10678.138193155173,245.0217022719566,270.0,ours,lifelong,2,1019,400,100,1449.630506033508,10900.922972068656,20,70686,84180cf5ce162d9e591105371e83771d9c21438813d10d195c6c562f9ab64d6e,96,1,2635.5,5271,1,100,0,10.0,0,ok,2000,351.0,722569,congestion_avoidance,0.9085027726432532,1.4745,2000,3246,242245,1035,2000,4236,2000,0.30280625,1990.198,242149
4,lacam_official,False,40,20,1,congestion_avoidance,0,2966,0,0,0,priority,2966,0,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,504,0,50.0,0.5,astar,72715,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1375.0,0,11086.189913097769,5,0.0704955421936554,990.1166025924031,311.53506405933916,10683.031946958508,244.19521240728253,283.5,ours,lifelong,1,1304,400,100,1314.2400821549436,10917.87562572863,20,72815,90365bbdaba649c4b1eaaffb1b31389804b4f27dffed3e85a10865260dd222e0,116,1,2750.0,5500,2,100,0,10.0,0,ok,2000,340.0,724283,congestion_avoidance,0.908979466748391,1.483,2000,3263,246034,1331,2000,4169,2000,0.3075425,2014.5222,245918
4,lacam_official,False,40,20,1,congestion_avoidance,0,2881,0,0,0,priority,2881,0,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,582,0,50.0,0.5,astar,73487,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1319.0,0,11256.322785047814,5,0.060524126455906824,1004.8308510283241,313.65150989239845,10652.171866265126,248.22457480041652,283.0,ours,lifelong,1,1379,400,100,1403.2072409400334,10979.32754799258,20,73587,5c8f1f6aff955b95ab73b98ade024087d383d190b3a548d27d24c64cb4256dfe,120,1,3095.0,6190,3,100,0,10.0,0,ok,2000,291.0,715135,congestion_avoidance,0.886734379809172,1.4405,2000,3249,254660,1397,2000,4793,2000,0.318325,2044.5085,254540
4,lacam_official,False,40,20,1,congestion_avoidance,0,2881,0,0,0,priority,2881,0,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,637,0,50.0,0.5,astar,73361,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1777.0,0,11403.018897864968,5,0.09277486910994764,1014.9098118485417,323.86115931968067,10686.316377616022,249.61228740020826,290.0,ours,lifelong,1,1361,400,100,1376.081027113321,10923.644291306846,20,73461,492ef4351f988a8952a2e9dd7142240c833e25f22364a9c1ecbd1b27bc43b906,115,1,3213.5,6427,4,100,0,10.0,0,ok,2000,443.0,719133,congestion_avoidance,0.8919504643962848,1.4405,2000,3230,250743,1377,2000,5050,2000,0.31342875,2065.9421,250628
4,lacam_official,False,40,20,1,congestion_avoidance,0,2925,0,0,0,priority,2925,0,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,529,0,50.0,0.5,astar,73151,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1356.0,0,11100.946228951216,5,0.09290646578782172,990.7218928982038,303.6711111111111,10670.49546418013,247.28,270.0,ours,lifelong,3,1214,400,100,1327.1964093432389,10937.744075560477,20,73251,b8bda22f2c589a8416784aeee7bfe5a2d03da765efd9ddfae836834b0960f6a6,105,1,2885.5,5771,5,100,0,10.0,0,ok,2000,444.0,723294,congestion_avoidance,0.9075395594166925,1.4625,2000,3223,246876,1228,2000,4543,2000,0.308595,2015.9045,246771
4,lacam_official,False,40,20,1,congestion_avoidance,0,2980,0,0,0,priority,2980,0,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,522,0,50.0,0.5,astar,69429,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1383.0,0,10974.357160041109,5,0.08213765855687254,984.0144820427522,294.75436241610737,10668.887591562234,243.28020134228188,262.0,ours,lifelong,1,1007,400,100,1374.3755351747152,10885.48386064358,20,69529,66346b00abcf23047c37fbd7e0bf052e785d5a355b82d29b168659994d2f421f,78,1,2550.0,5100,6,100,0,10.0,0,ok,2000,395.0,724975,congestion_avoidance,0.920605498918752,1.49,2000,3237,243664,1014,2000,4086,2000,0.30458,2002.7028,243586
4,lacam_official,False,40,20,1,congestion_avoidance,0,2858,0,0,0,priority,2858,0,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,595,0,50.0,0.5,astar,73974,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1352.0,0,11077.547556022182,5,0.06994764397905759,999.6943931130227,325.70958712386283,10688.265199628659,253.0150454863541,298.0,ours,lifelong,1,1342,400,100,1422.842501138302,10959.733099653386,20,74074,9055a813c00cf3999a6b3b3e0b77ff3cd2e8ef152f4f362e159f1e52ffacb09d,118,1,3085.5,6171,7,100,0,10.0,0,ok,2000,334.0,723117,congestion_avoidance,0.8895113600995954,1.429,2000,3213,246988,1360,2000,4811,2000,0.308735,2033.4975,246870
4,lacam_official,False,40,20,1,congestion_avoidance,0,2920,0,0,0,priority,2920,1,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,531,0,50.0,0.5,astar,72607,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1234.0,0,11177.360336994752,5,0.07060518731988473,961.883655487909,307.37602739726026,10725.796521808952,247.11369863013698,281.0,ours,lifelong,1,1319,400,100,1330.306517192586,11000.499934016261,20,72707,e2fafda87587f8472b5e4f097fe50a8d42a1416311dd5b5ba85fa2852a480cce,129,1,2872.0,5744,8,100,0,10.0,0,ok,2000,343.0,721572,congestion_avoidance,0.8878078443295835,1.46,2000,3289,247005,1335,2000,4409,2000,0.30875625,1957.5719,246876
4,lacam_official,False,40,20,1,congestion_avoidance,0,2881,0,0,0,priority,2881,1,0,,soft_safety_ablation,4,0,100,lacam_official,False,40,random_walk,600,0,50.0,0.5,astar,71952,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1343.0,0,10982.74448281154,5,0.05359780544418654,966.2808909891173,322.29954876778896,10638.63161399262,251.96563693162096,294.0,ours,lifelong,2,1241,400,100,1351.1195376626931,10801.140732388012,20,72052,c6cea86d57db095e301a58f395b659bc81cb52a736303e6aabaea5af88bca16d,127,1,2979.0,5958,9,100,0,10.0,0,ok,2000,254.0,725913,congestion_avoidance,0.9068303430909663,1.4405,2000,3177,245097,1256,2000,4702,2000,0.30637125,1965.7357,244970
