applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,auction_epsilon,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,max_rounds,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
3,lacam_official,True,40,20,1,congestion_avoidance,0,803,,0,0,0,priority,803,34,0,,allocator_comparison_fov3_safe1,3,0,114,lacam_official,True,40,random_walk,123,0,57.0,0.5,astar,6265,True,1978,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",686.0,0,13702.088125050068,5,0.02201565557729941,303.26829580927733,152.74470734744708,2561.625888875457,151.78455790784557,145.0,ours,lifelong,105,0,100,60,582.1037902729586,12788.782893458847,20,6379,8b51f41bb8519461df6de48f386af3a7d5d0d691ab78cd465fe1072b4195fa4c,447,1,474.0,948,0,23,0,10.0,0,ok,2000,45.0,121883,congestion_avoidance,0.9828641370869033,0.4015,2000,817,17107,0,2000,948,2000,0.085535,616.8781,16660
3,lacam_official,True,40,20,1,congestion_avoidance,0,831,,0,0,0,priority,831,19,0,,allocator_comparison_fov3_safe1,3,0,112,lacam_official,True,40,random_walk,146,0,56.0,0.5,astar,6125,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",666.0,0,14224.582460010424,5,0.08357771260997067,328.97420221345965,143.74127557160048,3097.6596972780367,142.37304452466907,133.0,ours,lifelong,107,0,100,60,513.9445032225922,12997.159284527877,20,6237,6127bce74710e3e67e247362fd1aed886c0ecb16d2456e7814c0558a944a19ef,679,1,623.5,1247,4,27,0,10.0,0,ok,2000,171.0,118312,congestion_avoidance,0.9822695035460993,0.4155,2000,846,13782,0,2000,1247,2000,0.06891,668.1733,13103
3,lacam_official,True,40,20,1,congestion_avoidance,0,773,,0,0,0,priority,773,30,0,,allocator_comparison_fov3_safe1,3,0,104,lacam_official,True,40,random_walk,207,0,52.0,0.5,astar,5657,True,1986,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",805.0,0,14728.576363064349,5,0.07100591715976332,368.6035753840115,141.751617076326,3618.4997817326803,141.07891332470894,124.0,ours,lifelong,104,0,100,60,607.071163202636,13531.04359206045,20,5761,fe1ff9c1dfcae6d248082215fa4e5077f2252d05589baa484d65746ef5897096,1759,1,795.5,1591,3,29,0,10.0,0,ok,2000,144.0,109054,congestion_avoidance,0.97724399494311,0.3865,2000,791,16608,0,2000,1591,2000,0.08304,747.4093,14849
3,lacam_official,True,40,20,1,congestion_avoidance,0,777,,0,0,0,priority,777,24,0,,allocator_comparison_fov3_safe1,3,0,109,lacam_official,True,40,random_walk,157,0,54.5,0.5,astar,5912,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",595.0,0,14110.473212087527,5,0.03260869565217391,300.38143160392065,147.75289575289574,2579.463154227054,147.47232947232948,138.0,ours,lifelong,99,0,100,60,553.2037257333285,13129.460744420066,20,6021,57863b57486bce7b2402a3638be4ab54a0ceff886803ea790cd011fdef2b8be7,634,1,669.5,1339,9,22,0,10.0,0,ok,2000,66.0,114586,congestion_avoidance,0.9798234552332913,0.3885,2000,793,17036,0,2000,1339,2000,0.08518,610.3323,16402
3,lacam_official,True,40,20,1,congestion_avoidance,0,790,,0,0,0,priority,790,20,0,,allocator_comparison_fov3_safe1,3,0,102,lacam_official,True,40,random_walk,201,0,51.0,0.5,astar,5984,True,1977,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",604.0,0,13339.831477962434,5,0.0407174018419777,316.4716822426999,143.57974683544305,3238.6767078994535,142.07848101265822,130.0,ours,lifelong,93,0,100,60,530.8824600535445,13083.598389592953,20,6086,1416290a6c58c9ce4440bdfeb90a9c90944fdea0c4b85dca8ba6be820dae7c51,497,1,765.0,1530,8,26,0,10.0,0,ok,2000,84.0,112242,congestion_avoidance,0.9875,0.395,2000,800,13604,0,2000,1530,2000,0.06802,641.8542,13107
3,lacam_official,True,40,20,1,congestion_avoidance,0,808,,0,0,0,priority,808,18,0,,allocator_comparison_fov3_safe1,3,0,105,lacam_official,True,40,random_walk,128,0,52.5,0.5,astar,6648,True,1954,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",472.0,0,13556.051464984193,5,0.023785926660059464,360.7477065138519,141.9789603960396,3852.045533078767,141.72277227722773,128.5,ours,lifelong,109,0,100,60,555.0232857116497,13051.370461191982,20,6753,b8f8af46519a16d7609c7b3bca2499b628a0ef3d7bf52e1075404826cc38f426,500,1,654.5,1309,7,32,0,10.0,0,ok,2000,48.0,114512,congestion_avoidance,0.9901960784313726,0.404,2000,816,13349,0,2000,1309,2000,0.066745,730.9846,12849
3,lacam_official,True,40,20,1,congestion_avoidance,0,1170,,0,0,0,priority,1170,42,0,,allocator_comparison_fov3_safe1,3,0,110,lacam_official,True,40,random_walk,272,0,55.0,0.5,astar,8228,True,1975,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",539.0,0,13115.055476082489,5,0.04345703125,384.6648166324012,145.62820512820514,2109.5444209619677,145.15299145299144,130.0,ours,lifelong,200,0,150,60,757.1766067529097,12173.542375396937,20,8338,d1ea25dea4acb9477fbfdf74bbf5b1e0a51680792da1002cb2f418e7100dc442,742,1,1026.0,2052,1,19,0,10.0,0,ok,2000,89.0,169829,congestion_avoidance,0.967741935483871,0.585,2000,1209,32751,0,2000,2052,2000,0.10917,783.0777,32009
3,lacam_official,True,40,20,1,congestion_avoidance,0,1183,,0,0,0,priority,1183,44,0,,allocator_comparison_fov3_safe1,3,0,106,lacam_official,True,40,random_walk,233,0,53.0,0.5,astar,8912,True,1985,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",625.0,0,12476.292928215116,5,0.02702702702702703,452.1022417235654,147.07607776838546,3163.8568861603317,146.1978021978022,135.0,ours,lifelong,193,0,150,60,796.1696701357141,12147.21831533825,20,9018,3cc844c7fc4c984f573f8750e3d6a75e06eb0e18ec13086a4d3265a7b9035487,967,1,959.5,1919,0,28,0,10.0,0,ok,2000,56.0,172952,congestion_avoidance,0.9712643678160919,0.5915,2000,1218,33063,0,2000,1919,2000,0.11021,918.2688,32096
3,lacam_official,True,40,20,1,congestion_avoidance,0,1195,,0,0,0,priority,1195,30,0,,allocator_comparison_fov3_safe1,3,0,107,lacam_official,True,40,random_walk,255,0,53.5,0.5,astar,9870,True,1968,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",860.0,0,12634.19118989259,5,0.041826923076923074,460.714584547095,148.87531380753137,3828.6633901798523,147.97071129707112,133.0,ours,lifelong,184,0,150,60,724.8756852699443,12014.585752994753,20,9977,955139598ae840b8e3ad0a7b90faee498f00f64f0c9c9745853fd7cba88a6cc2,866,1,1000.0,2000,2,35,0,10.0,0,ok,2000,87.0,176825,congestion_avoidance,0.9787059787059788,0.5975,2000,1221,31210,0,2000,2000,2000,0.10403333333333334,934.6285,30344
3,lacam_official,True,40,20,1,congestion_avoidance,0,1195,,0,0,0,priority,1195,25,0,,allocator_comparison_fov3_safe1,3,0,113,lacam_official,True,40,random_walk,241,0,56.5,0.5,astar,10336,True,1987,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",613.0,0,12886.016172124073,5,0.05240174672489083,513.6190708930371,150.43849372384938,4091.991430585297,149.81506276150628,134.0,ours,lifelong,218,0,150,60,859.5285306451842,12310.374165419487,20,10449,b2284736696de82005b5fedc25b926e7f1e150c9cf549f99eb15763248f669b3,1389,1,1048.0,2096,5,39,0,10.0,0,ok,2000,108.0,179029,congestion_avoidance,0.9851607584501236,0.5975,2000,1213,26810,0,2000,2096,2000,0.08936666666666666,1040.7379,25421
