applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
,,,,,,,0,1199,0,0,0,priority,1199,37,0,,temporal_progression,4,201,lacam_official,True,20,random_walk,0,0,100.5,astar,8531,True,1984,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",560.0,12891.24434196856,439.9498064640211,123.8648874061718,1771.676572977996,123.34778982485405,109.0,no_buffer,lifelong,3640,150,100,736.9660538272001,12241.017183987424,10,8732,c386dab65225d913645af0fa83ec535b8853dfc19893a5dab641d2cacf090955,385,1,0.0,0,1,29,0,10.0,0,ok,2000,147894,congestion_avoidance,0.9892739273927392,0.5995,2000,1212,20639,0,2000,0,2000,0.0687966666666666,892.0816,20254
,,,,,,,0,1192,0,0,0,priority,1192,40,0,,temporal_progression,4,200,lacam_official,True,20,random_walk,0,0,100.0,astar,10464,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",444.0,13546.918171923608,566.6687677517766,123.20553691275168,3210.181495315046,122.53859060402684,112.0,no_buffer,lifelong,3532,150,100,651.7025528592058,12385.739777743584,10,10664,56230422f88d740749843e5090123a29f84574bbacca460283da98bf4e330b7b,673,1,0.0,0,0,53,0,10.0,0,ok,2000,146066,congestion_avoidance,0.9794576828266228,0.596,2000,1217,21191,0,2000,0,2000,0.0706366666666666,1144.8265,20518
,,,,,,,0,1196,0,0,0,priority,1196,35,0,,temporal_progression,4,201,lacam_official,True,20,random_walk,0,0,100.5,astar,10458,True,1987,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",381.0,13431.459128041752,557.4577826380264,122.49414715719064,3047.684377793162,121.75,111.0,no_buffer,lifelong,3308,150,100,768.1667814089449,12380.07289194502,10,10659,0d1017e3ee1bae242471e845f0eb45ff30d2e6ab0f8f4eff66de5b2a8d8b137b,566,1,0.0,0,2,51,0,10.0,0,ok,2000,145613,congestion_avoidance,0.9827444535743632,0.598,2000,1217,19444,0,2000,0,2000,0.0648133333333333,1126.6457,18878
,,,,,,,0,1200,0,0,0,priority,1200,22,0,,temporal_progression,4,200,lacam_official,True,20,random_walk,0,0,100.0,astar,10621,True,1990,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",623.0,13240.807360969484,582.5799516436527,126.28083333333332,3308.069640203612,125.83083333333332,110.0,no_buffer,lifelong,3491,150,100,746.284656273201,12327.529348240932,10,10821,0b94f0ca467dd0d29b8d814fc70b3806572929979e4470be735db8f010a566e8,987,1,0.0,0,5,55,0,10.0,0,ok,2000,150997,congestion_avoidance,0.9852216748768472,0.6,2000,1218,17659,0,2000,0,2000,0.0588633333333333,1176.5605,16672
,,,,,,,0,1232,0,0,0,priority,1232,37,0,,temporal_progression,4,200,lacam_official,True,20,random_walk,0,0,100.0,astar,11311,True,1968,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",720.0,15128.178176935762,658.153046264255,127.3409090909091,4027.040011192439,127.15827922077922,115.0,no_buffer,lifelong,3796,150,100,730.5964315950404,12730.258564476388,10,11511,0552c13913a110db81f51ea6b8c94ec9dc3bfc324b4d1e8da5cbe8ef66035c5f,1298,1,0.0,0,3,64,0,10.0,1,ok,2000,156659,congestion_avoidance,0.9951534733441034,0.616,2000,1238,18967,0,2000,0,2000,0.0632233333333333,1327.7656,17669
,,,,,,,0,1125,0,0,0,priority,1125,47,0,,temporal_progression,4,200,lacam_official,True,20,random_walk,0,0,100.0,astar,11254,True,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",692.0,13261.014299001545,638.490710197424,127.39911111111113,3941.291363497148,127.016,117.0,no_buffer,lifelong,3190,150,100,759.4134257524274,12361.03851175285,10,11454,4a7b559a3890864e6b03fafb47b92c420cdbdd7c578f2fab739d736c842e401a,1007,1,0.0,0,8,66,0,10.0,0,ok,2000,142893,congestion_avoidance,0.980819529206626,0.5625,2000,1147,21165,0,2000,0,2000,0.07055,1287.8833,20158
,,,,,,,0,1200,0,0,0,priority,1200,43,0,,temporal_progression,4,200,lacam_official,True,20,random_walk,0,0,100.0,astar,11563,True,1971,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",748.0,13676.066627027469,664.1374296401627,122.45833333333331,4118.975918524084,121.78333333333332,111.0,no_buffer,lifelong,3196,150,100,765.3010760957841,12241.83770576492,10,11763,c931a1981078d80da8df55b4cf4d4840ae8971009e99e3785d4d6a246ab4dcc7,1159,1,0.0,0,6,69,0,10.0,0,ok,2000,146140,congestion_avoidance,0.9844134536505332,0.6,2000,1219,20176,0,2000,0,2000,0.0672533333333333,1339.1759,19017
,,,,,,,0,1251,0,0,0,priority,1251,27,0,,temporal_progression,4,200,lacam_official,True,20,random_walk,0,0,100.0,astar,14389,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",547.0,12940.15457201749,707.0722022826667,127.57074340527578,4595.29837664857,126.82494004796165,119.0,no_buffer,lifelong,4256,150,100,726.138157432433,12314.777928817784,10,14589,44ad950d5fa2aca979b6bdebf9b28dcb7c6ceaba11fcb039de209101e3bcc461,1211,1,0.0,0,4,78,0,10.0,0,ok,2000,158658,congestion_avoidance,0.9827179890023566,0.6255,2000,1273,18344,0,2000,0,2000,0.0611466666666666,1425.2992,17133
,,,,,,,0,1178,0,0,0,priority,1178,38,0,,temporal_progression,4,202,lacam_official,True,20,random_walk,0,0,101.0,astar,12543,True,1988,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",745.0,13442.746671964414,721.7436754869414,128.4295415959253,4745.697397915047,127.92444821731748,115.5,no_buffer,lifelong,3443,150,100,774.1976034361869,12604.565182200167,10,12745,4813e37c81916144d684efae9152b57c8a8e12ce200e462ad23fc2b3b70beeaf,1386,1,0.0,0,9,80,0,10.0,0,ok,2000,150695,congestion_avoidance,0.9865996649916248,0.589,2000,1194,19883,0,2000,0,2000,0.0662766666666666,1454.1738,18497
,,,,,,,0,1205,0,0,0,priority,1205,35,0,,temporal_progression,4,200,lacam_official,True,20,random_walk,0,0,100.0,astar,12133,True,1953,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",458.0,12877.958336961456,734.7148396903067,120.53941908713692,4748.710650632274,120.07966804979252,112.0,no_buffer,lifelong,3282,150,100,859.0789494221096,12436.693333490985,10,12333,08ef4fcb89a84a3845c04152fa7bd594dda50e9e82d6f3243c20ecccd7078f1e,1755,1,0.0,0,7,79,0,10.0,0,ok,2000,144696,congestion_avoidance,0.9796747967479674,0.6025,2000,1230,17154,0,2000,0,2000,0.05718,1480.2799,15399
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1184,0,0,0,priority,1184,86,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,2584,0,1000.0,astar,0,True,1968,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1235.0,149.83891905285418,204.87156486016465,133.61908783783784,34.596429093158804,133.2153716216216,107.0,pibt2_fr,lifelong,6897,150,100,481.0324409336317,56.97395439492538,10,2000,399f05c30210ea00da0da51fc8e905290f1c055142e5c06686e33ce61c97b9b3,0,1,8286.5,16573,5,0,902,10.0,0,ok,2000,157727,congestion_avoidance,0.9720853858784894,0.592,2000,1218,0,7114,2000,9459,2000,0.0,420.5341,0
