task_allocator,num_agents,throughput_mean,throughput_std,n
auction,50,0.37429999999999997,0.009171816735097926,10
congestion_avoidance,50,0.37475,0.008785246470962314,10
greedy,50,0.37475,0.00892017065108312,10
hungarian,50,0.37495,0.008798516289061982,10
