task_allocator,num_agents,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,safe_wait_mean,wall_s_mean,sum_overlap_mean,n_rounds_mean,overlap_per_round_mean
auction,50,0.37395,0.00919,0.0057,0,520.0,329.2,300.39582,35.9,99.8,0.36639
congestion_avoidance,50,0.3743,0.00867,0.00538,0,795.5,358.5,237.94945,29.7,100.5,0.30127
greedy,50,0.37415,0.00844,0.00523,0,773.2,316.8,191.24469,123.2,100.3,1.25249
hungarian,50,0.3743,0.00938,0.00582,0,772.5,297.5,189.81531,49.4,100.5,0.50167
