task_allocator,num_agents,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,wall_s_mean
auction,50,0.374,0.0092,0.0057,0,520.0,747.9,329.2,299.719
congestion_avoidance,50,0.3743,0.0087,0.0054,0,795.5,748.6,358.5,238.6966
greedy,50,0.3742,0.0084,0.0052,0,773.2,748.3,316.8,190.2734
hungarian,50,0.3743,0.0094,0.0058,0,772.5,748.6,297.5,189.3049
