task_allocator,num_agents,thpt_mean,thpt_std,thpt_ci95,agent_attr_max,exo_attr_mean,completed_mean,safe_wait_mean,wall_s_mean
auction,50,0.1985,0.0057,0.0035,0,810.3,396.9,536.2,280.308
auction,100,0.3893,0.0089,0.0055,0,1943.4,778.6,1246.9,717.432
auction,150,0.5841,0.0156,0.0097,0,2926.6,1168.2,2463.8,1280.8953
auction,200,0.7799,0.0185,0.0115,0,4159.0,1559.8,3779.3,1663.2477
congestion_avoidance,50,0.2018,0.007,0.0043,0,1711.9,403.6,472.1,277.5204
congestion_avoidance,100,0.3962,0.0094,0.0058,0,3903.2,792.4,1317.1,890.3598
congestion_avoidance,150,0.5963,0.0158,0.0098,0,5589.9,1192.7,2351.0,1609.0668
congestion_avoidance,200,0.795,0.0161,0.01,0,6818.3,1590.1,4139.1,2285.4999
greedy,50,0.2008,0.0054,0.0034,0,1600.1,401.6,514.0,230.2844
greedy,100,0.3944,0.0071,0.0044,0,2783.2,788.7,1311.3,724.5697
greedy,150,0.5402,0.03,0.0186,0,2631.8,1080.3,2191.7,1324.2004
greedy,200,0.6306,0.0132,0.0082,0,3082.5,1261.2,3317.6,1769.4383
hungarian,50,0.2023,0.0069,0.0043,0,1749.2,404.6,499.4,203.2171
hungarian,100,0.3965,0.0087,0.0054,0,3702.0,793.0,1207.1,558.9577
hungarian,150,0.5956,0.015,0.0093,0,5163.7,1191.3,2334.4,971.0148
hungarian,200,0.7952,0.0141,0.0087,0,6920.9,1590.3,4038.4,1511.3214
