applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,20,10,1,congestion_avoidance,0,593,0,0,0,priority,593,1,0,,baseline_comparison,4,109,205,lacam_official,True,20,random_walk,71,0,102.5,astar,2679,1890,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",179.0,109,15188.86585906148,0.018407960199004977,97.52572694967967,59.57504215851602,733.0892244160812,59.403035413153454,55.0,ours,lifelong,66,0,40,20,98.39350166730581,18.19712356664223,10,2884,68d04fd4f3157137481c896ab58dcc80c8fc79cf4cf66e69ecd245df29700dd4,182,1,420.5,841,8,2,0,10.0,8,ok,2000,37.0,35226,congestion_avoidance,0.9983164983164983,0.2965,2000,594,1848,0,0,841,0,0.0231,195.3318,1666
4,lacam_official,True,20,10,1,congestion_avoidance,0,565,0,0,0,priority,565,7,0,,baseline_comparison,4,97,203,lacam_official,True,20,random_walk,56,0,101.5,astar,2867,1902,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",311.0,97,15192.894284846261,0.0004957858205255329,133.16981330420822,65.8141592920354,1105.8444417416683,65.47964601769911,61.0,ours,lifelong,50,0,40,20,94.03918363386765,14778.074582642868,10,3070,02638850f473dbda1d98be7a837e693f9c2b84f8c5c2a1f2561b2ae29799ae1b,165,1,309.0,618,1,6,0,10.0,9,ok,2000,1.0,36996,congestion_avoidance,0.9982332155477032,0.2825,2000,566,2954,0,0,618,0,0.036925,266.6862,2789
4,lacam_official,True,20,10,1,congestion_avoidance,0,635,0,0,0,priority,635,1,0,,baseline_comparison,4,38,206,lacam_official,True,20,random_walk,37,0,103.0,astar,3278,1926,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",268.0,38,15139.348631957546,0.010912698412698412,141.6704036865849,66.35905511811023,1170.5323001347228,66.06141732283464,62.0,ours,lifelong,88,0,40,20,86.2189593608491,15123.335252923425,10,3484,fd35ddd7eb2240581fad020adc95371a644efcb98e07f76c77534dc2f2b4774b,278,1,282.0,564,5,3,0,10.0,13,ok,2000,22.0,41949,congestion_avoidance,0.9984276729559748,0.3175,2000,636,2367,0,0,564,0,0.0295875,283.6484,2089
4,lacam_official,True,20,10,1,congestion_avoidance,0,591,0,0,0,priority,591,9,0,,baseline_comparison,4,75,205,lacam_official,True,20,random_walk,46,0,102.5,astar,2967,1912,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",310.0,45,15180.301009910181,0.008950770760815515,149.53864611196332,63.58037225042301,1259.2302357914243,63.38409475465313,59.0,ours,lifelong,67,0,40,20,92.3675949918106,15142.007096391171,10,3172,687eafcf72a6a88e9910921feb10ff461d6bafb1867712cd9f4884a74bef1b20,161,1,289.5,579,6,3,0,10.0,14,ok,2000,18.0,37460,congestion_avoidance,0.9966273187183811,0.2955,2000,593,3660,0,0,579,0,0.04575,299.4047,3499
4,lacam_official,True,20,10,1,congestion_avoidance,0,599,0,0,0,priority,599,5,0,,baseline_comparison,4,151,206,lacam_official,True,20,random_walk,50,0,103.0,astar,2985,1848,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",246.0,151,15200.258612865582,0.014356435643564357,141.2928258732427,60.94991652754591,1162.1141281313471,60.69782971619366,58.0,ours,lifelong,63,0,40,20,93.14981660572812,15012.252801039722,10,3191,79c7f446261a6c2e7f220e907d717ef258aafaf835bf40573a861ad0a3ce472f,276,1,310.5,621,9,5,0,10.0,11,ok,2000,29.0,36358,congestion_avoidance,0.9966722129783694,0.2995,2000,601,2528,0,0,621,0,0.0316,282.9444,2252
4,lacam_official,True,20,10,1,congestion_avoidance,0,756,0,0,0,priority,756,7,0,,baseline_comparison,4,92,203,lacam_official,True,20,random_walk,74,0,101.5,astar,3847,1993,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",297.0,50,15168.260321952403,0.012363996043521267,142.86249634437263,61.97089947089947,1098.3080570069899,61.62698412698413,58.0,ours,lifelong,94,0,50,20,116.933430172503,14872.736510192044,10,4050,fa74ccc5c9624e0cf2a1b6fefe1a0eab96edc07d2671785c854246544afa115c,265,1,415.5,831,2,8,0,10.0,7,ok,2000,25.0,46590,congestion_avoidance,0.9986789960369881,0.378,2000,757,3781,0,0,831,0,0.03781,286.1812,3516
4,lacam_official,True,20,10,1,congestion_avoidance,0,762,0,0,0,priority,762,5,0,,baseline_comparison,4,0,202,lacam_official,True,20,random_walk,61,0,101.0,astar,3614,1887,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",323.0,0,15150.543639902025,0.002977667493796526,103.77611578896176,64.77165354330708,724.7001619117408,64.67060367454069,61.0,ours,lifelong,113,0,50,20,114.36832944164051,16.294848511461158,10,3816,64030b2b9a1d688cfc54c9b206486f957024d72055a987c752a76acfd44ee82f,304,1,373.5,747,5,8,0,10.0,2,ok,2000,6.0,49279,congestion_avoidance,1.0,0.381,2000,762,4279,0,0,747,0,0.04279,208.0609,3975
4,lacam_official,True,20,10,1,congestion_avoidance,0,594,0,0,0,priority,594,5,0,,baseline_comparison,4,96,205,lacam_official,True,20,random_walk,32,0,102.5,astar,3329,1988,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",413.0,95,15183.686164906248,0.002974714923153198,189.68719848338515,66.86700336700336,1648.235024611761,66.6952861952862,61.0,ours,lifelong,66,0,40,20,93.3722669375129,15036.412533419207,10,3534,894e0b3174e947569ae84f7f80c389e6022ce7730fab9126dc9e92eb5d4cef00,219,1,242.0,484,7,11,0,10.0,12,ok,2000,6.0,39617,congestion_avoidance,0.9966442953020134,0.297,2000,596,3182,0,0,484,0,0.039775,379.7436,2963
4,lacam_official,True,20,10,1,congestion_avoidance,0,734,0,0,0,priority,734,7,0,,baseline_comparison,4,30,204,lacam_official,True,20,random_walk,50,0,102.0,astar,3756,1934,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",346.0,30,15161.026933928952,0.019383697813121274,173.23730166454334,62.03542234332425,1385.6114207141502,61.856948228882835,56.0,ours,lifelong,102,0,50,20,119.72134538227692,14690.63632444013,10,3960,f2eae6dcd892cc3bd27c71ab3d1e1024a7d10d377e9145c4387c9b19dd142589,539,1,351.0,702,3,9,0,10.0,10,ok,2000,39.0,45403,congestion_avoidance,0.994579945799458,0.367,2000,738,4159,0,0,702,0,0.04159,346.9184,3620
4,lacam_official,True,20,10,1,congestion_avoidance,0,763,0,0,0,priority,763,5,0,,baseline_comparison,4,91,203,lacam_official,True,20,random_walk,61,0,101.5,astar,3857,1921,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",294.0,78,15160.810800967738,0.009970089730807577,125.09893604100216,64.5478374836173,938.7589264661074,64.46920052424639,60.0,ours,lifelong,101,0,50,20,115.10658264160155,13630.048801400695,10,4060,ee4bf78c9097a6ab9f0408a15cc0eb3d89c977646dc4575b5c4173a030a8c5b8,280,1,396.0,792,7,7,0,10.0,6,ok,2000,20.0,49190,congestion_avoidance,0.9986910994764397,0.3815,2000,764,3993,0,0,792,0,0.03993,250.6474,3713
