solver,map,num_agents,num_humans,seed,replan_idx,status,solver_wall_ms,end_to_end_wall_ms,plan_makespan,plan_first_agent_distinct_cells,error_msg,source_config
lacam_official,warehouse-10-20-10-2-1,50,40,0,0,error,13880.0,14240.131648,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,50,40,0,1,error,14165.0,14581.644406,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,50,40,0,2,error,13931.0,14341.36383,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,100,40,1,0,error,11889.0,12120.250993,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,100,40,1,1,error,11923.0,12163.157325,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,100,40,1,2,error,11835.0,12066.101269,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,0,0,error,10976.0,11139.069914,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,0,1,error,11089.0,11279.185128,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,0,2,error,11053.0,11233.389342,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,1,0,error,11190.0,11429.870908,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,1,1,error,11341.0,11576.596203,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,1,2,error,11310.0,11551.599676,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,2,0,error,11196.0,11450.973225,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,2,1,error,11158.0,11386.695753,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,150,40,2,2,error,11071.0,11250.770034,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,0,0,complete,6.0,20.405707,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,0,1,complete,6.0,19.995256,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,0,2,complete,7.0,23.711972,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,200,40,0,0,error,10761.0,10924.681517,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,200,40,0,1,error,11006.0,11293.353016,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,200,40,0,2,error,10807.0,10980.769566,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,1,0,complete,7.0,22.517454,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,1,1,complete,6.0,21.317392,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,1,2,complete,6.0,21.479464,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,2,0,complete,7.0,21.373402,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,2,1,complete,7.0,22.096104,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-2,100,60,2,2,complete,7.0,22.203613,21,21,,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,200,40,1,0,error,10694.0,10845.596909,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,200,40,1,1,error,10687.0,10837.452655,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,200,40,1,2,error,10757.0,10922.299885,21,1,rc=0 but parser produced no plan,scaling_agents_v2
lacam_official,warehouse-10-20-10-2-1,200,40,2,0,error,10891.0,11071.96504,21,1,rc=0 but parser produced no plan,scaling_agents_v2
