applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,auction_epsilon,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,max_rounds,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,40,20,2,congestion_avoidance,0,790,,0,0,0,priority,790,21,0,,allocator_comparison_fov4_safe2,4,0,135,lacam_official,True,40,random_walk,288,0,67.5,0.5,astar,7669,True,1987,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",665.0,0,12845.57348000817,5,0.03183791606367583,367.7148076881422,160.77088607594936,1648.0881533473384,158.65949367088606,148.0,ours,lifelong,91,0,100,60,800.0826263159979,12033.231311151758,20,7804,fda5723f4b281856d93a6c8f0e370f4112d951573266c7d4714ba4de03e4d3f5,931,2,1660.5,3321,5,18,0,10.0,0,ok,2000,66.0,125341,congestion_avoidance,0.9825870646766169,0.395,2000,804,15152,0,2000,3321,2000,0.07576,751.1278,14221
4,lacam_official,True,40,20,2,congestion_avoidance,0,799,,0,0,0,priority,799,21,0,,allocator_comparison_fov4_safe2,4,0,122,lacam_official,True,40,random_walk,365,0,61.0,0.5,astar,7753,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",684.0,0,12706.360865966417,5,0.02586206896551724,386.3451360121253,156.71964956195245,2010.9736754341418,153.9549436795995,142.0,ours,lifelong,86,0,100,60,891.5031361917498,12354.93714712793,20,7875,00e4510692684c097c06c83b68016549c54595c5eee40af5cb54c06a3581d55b,1102,2,1989.0,3978,2,20,0,10.0,0,ok,2000,54.0,123010,congestion_avoidance,0.9815724815724816,0.3995,2000,814,15821,0,2000,3978,2000,0.079105,788.5146,14719
4,lacam_official,True,40,20,2,congestion_avoidance,0,781,,0,0,0,priority,781,14,0,,allocator_comparison_fov4_safe2,4,0,127,lacam_official,True,40,random_walk,300,0,63.5,0.5,astar,7693,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",567.0,0,13339.658204000443,5,0.04571984435797665,415.9180361444014,151.92317541613318,2179.188587920975,150.02560819462227,138.0,ours,lifelong,97,0,100,60,965.3267968678847,12755.159122077746,20,7820,a7345cd4c2992f03791ee7ff76788808831384a4862a9ea5c2dae7d9a244d8ff,1087,2,1783.5,3567,1,22,0,10.0,0,ok,2000,94.0,117170,congestion_avoidance,0.9811557788944724,0.3905,2000,796,11773,0,2000,3567,2000,0.058865,847.5612,10686
4,lacam_official,True,40,20,2,congestion_avoidance,0,805,,0,0,0,priority,805,17,0,,allocator_comparison_fov4_safe2,4,0,121,lacam_official,True,40,random_walk,317,0,60.5,0.5,astar,7845,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",727.0,0,12790.006897062995,5,0.021515892420537898,450.62928405118873,151.16273291925467,2766.3624297340652,150.0534161490683,140.0,ours,lifelong,105,0,100,60,907.752913731383,12548.973200959153,20,7966,be398431bfc07b808a521c8c4b813e6c78fbd60690f2aef2be73f720aa6d6c97,1224,2,1847.0,3694,0,27,0,10.0,0,ok,2000,44.0,120793,congestion_avoidance,0.98531211750306,0.4025,2000,817,12724,0,2000,3694,2000,0.06362,917.0307,11500
4,lacam_official,True,40,20,2,congestion_avoidance,0,772,,0,0,0,priority,772,22,0,,allocator_comparison_fov4_safe2,4,0,115,lacam_official,True,40,random_walk,378,0,57.5,0.5,astar,6751,True,1981,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",566.0,0,12880.857844953425,5,0.07149805447470817,388.4534187531099,146.13082901554404,1642.4422436454536,145.14378238341968,134.5,ours,lifelong,89,0,100,60,925.0624385487754,12442.578505515121,20,6866,c819d011e12df18a15b3ff32973ad019e06665b5becee1836d418f5015ea0e70,1243,2,2415.5,4831,6,15,0,10.0,0,ok,2000,147.0,112051,congestion_avoidance,0.9784537389100126,0.386,2000,789,14661,0,2000,4831,2000,0.073305,792.4418,13418
4,lacam_official,True,40,20,2,congestion_avoidance,0,833,,0,0,0,priority,833,14,0,,allocator_comparison_fov4_safe2,4,0,134,lacam_official,True,40,random_walk,352,0,67.0,0.5,astar,8535,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",556.0,0,12772.797542973422,5,0.083984375,491.9244861276238,153.8031212484994,3045.2533777657227,152.29291716686674,144.0,ours,lifelong,107,0,100,60,808.4557055903133,12355.474150012014,20,8669,80f96c9a674d129d3b4fc27458ac3aae8dc01fbea1f1deab13d51e32625a3bbc,1539,2,1924.0,3848,4,33,0,10.0,0,ok,2000,172.0,126860,congestion_avoidance,0.9846335697399528,0.4165,2000,846,12539,0,2000,3848,2000,0.062695,999.8214,11000
4,lacam_official,True,40,20,2,congestion_avoidance,0,772,,0,0,0,priority,772,15,0,,allocator_comparison_fov4_safe2,4,0,120,lacam_official,True,40,random_walk,396,0,60.0,0.5,astar,7556,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",556.0,0,13260.69176895544,5,0.07167572911517549,515.2576147962827,148.75906735751295,3369.538724204176,148.22150259067357,135.0,ours,lifelong,104,0,100,60,1016.8232932686806,12876.140403636964,20,7676,9e37d719606ff45ddbd9539804e049ba31fa280670d8ce89b533d57cc504f4bb,2245,2,2660.0,5320,3,32,0,10.0,0,ok,2000,145.0,114427,congestion_avoidance,0.9759797724399494,0.386,2000,791,13815,0,2000,5320,2000,0.069075,1046.1815,11570
4,lacam_official,True,40,20,2,congestion_avoidance,0,805,,0,0,0,priority,805,15,0,,allocator_comparison_fov4_safe2,4,0,121,lacam_official,True,40,random_walk,263,0,60.5,0.5,astar,8874,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",567.0,0,12475.576765020378,5,0.02465483234714004,465.4891100565437,157.48695652173913,3134.120785304122,157.19751552795032,147.0,ours,lifelong,107,0,100,60,797.937913890928,12298.95096202381,20,8995,28ca14ceba4c2343872da8bb675c73be0c0b35f62fa56dfbe8a410958b757f80,1290,2,1645.0,3290,7,31,0,10.0,0,ok,2000,50.0,126544,congestion_avoidance,0.9865196078431373,0.4025,2000,816,14063,0,2000,3290,2000,0.070315,946.6305,12773
4,lacam_official,True,40,20,2,congestion_avoidance,0,789,,0,0,0,priority,789,17,0,,allocator_comparison_fov4_safe2,4,0,122,lacam_official,True,40,random_walk,232,0,61.0,0.5,astar,8994,True,1992,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",526.0,0,12774.448871030472,5,0.03128007699711261,469.1997716581682,162.79214195183778,3403.3382382390823,160.76932826362483,155.0,ours,lifelong,92,0,100,60,828.1828527629841,12340.788418269949,20,9116,c1d3b9ba04e35370080818192479f627a08951bab976bb584cd10e8de9e06fe1,1063,2,1506.5,3013,8,34,0,10.0,0,ok,2000,65.0,126847,congestion_avoidance,0.98625,0.3945,2000,800,15701,0,2000,3013,2000,0.078505,954.0223,14638
4,lacam_official,True,40,20,2,congestion_avoidance,0,778,,0,0,0,priority,778,18,0,,allocator_comparison_fov4_safe2,4,0,122,lacam_official,True,40,random_walk,298,0,61.0,0.5,astar,8287,True,1980,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",627.0,0,12901.478876941837,5,0.03278688524590164,467.2135146195651,154.46786632390746,2956.7171503383224,154.23136246786632,145.0,ours,lifelong,100,0,100,60,979.9168089637533,12725.436001201158,20,8409,8dc2caf533366407bf0198c4ff467fe491d24a4980703060b24997acf82e90d7,1447,2,2085.0,4170,9,29,0,10.0,0,ok,2000,66.0,119992,congestion_avoidance,0.9810844892812106,0.389,2000,793,13889,0,2000,4170,2000,0.069445,950.0102,12442
